trial,start_time,end_time,label,duration
1,2424636,2424764,fixation,128
1,2424765,2424804,saccade,39
1,2424805,2424923,fixation,118
1,2424924,2424962,saccade,38
1,2424963,2424977,pso,14
1,2424978,2425154,fixation,176
1,2425155,2425197,saccade,42
1,2425198,2425204,pso,6
1,2425205,2425341,fixation,136
1,2425342,2425382,saccade,40
1,2425383,2425391,pso,8
1,2425392,2425566,fixation,174
1,2425567,2425604,saccade,37
1,2425605,2425625,pso,20
1,2425626,2425930,fixation,304
2,2263385,2263542,fixation,157
2,2263543,2263581,saccade,38
2,2263582,2263593,pso,11
2,2263594,2263679,fixation,85
2,2263680,2263722,saccade,42
2,2263723,2263740,pso,17
2,2263741,2263981,fixation,240
2,2263982,2264239,blink,257
2,2264240,2264329,fixation,89
2,2264330,2264370,saccade,40
2,2264371,2264379,pso,8
2,2264380,2264507,fixation,127
2,2264508,2264558,saccade,50
2,2264559,2264577,pso,18
2,2264578,2264747,fixation,169
2,2264748,2264766,saccade,18
2,2264767,2264778,pso,11
2,2264779,2264912,fixation,133
2,2264913,2264947,saccade,34
2,2264948,2264962,pso,14
2,2264963,2265079,fixation,116
2,2265080,2265116,saccade,36
2,2265117,2265135,pso,18
2,2265136,2265225,fixation,89
3,2314098,2314286,fixation,188
3,2314287,2314324,saccade,37
3,2314325,2314332,pso,7
3,2314333,2314476,fixation,143
3,2314477,2314517,saccade,40
3,2314518,2314536,pso,18
3,2314537,2314782,fixation,245
3,2314783,2314815,saccade,32
3,2314816,2314823,pso,7
3,2314824,2314963,fixation,139
3,2314964,2314982,saccade,18
3,2314983,2314994,pso,11
3,2314995,2315262,fixation,267
3,2315263,2315303,saccade,40
3,2315304,2315321,pso,17
3,2315322,2315400,fixation,78
4,2270676,2270825,fixation,149
4,2270826,2270861,saccade,35
4,2270862,2270875,pso,13
4,2270876,2270994,fixation,118
4,2270995,2271041,saccade,46
4,2271042,2271051,pso,9
4,2271052,2271182,fixation,130
4,2271183,2271218,saccade,35
4,2271219,2271238,pso,19
4,2271239,2271526,fixation,287
4,2271527,2271560,saccade,33
4,2271561,2271565,pso,4
4,2271566,2271685,fixation,119
4,2271686,2271730,saccade,44
4,2271731,2271745,pso,14
4,2271746,2271924,fixation,178
4,2271925,2271957,saccade,32
4,2271958,2271968,pso,10
4,2271969,2272016,fixation,47
5,2173532,2173688,fixation,156
5,2173689,2173720,saccade,31
5,2173721,2173738,pso,17
5,2173739,2173827,fixation,88
5,2173828,2173870,saccade,42
5,2173871,2173890,pso,19
5,2173891,2174033,fixation,142
5,2174034,2174065,saccade,31
5,2174066,2174085,pso,19
5,2174086,2174294,fixation,208
5,2174295,2174336,saccade,41
5,2174337,2174347,pso,10
5,2174348,2174435,fixation,87
5,2174436,2174476,saccade,40
5,2174477,2174486,pso,9
5,2174487,2174768,fixation,281
5,2174769,2174783,saccade,14
5,2174784,2174791,pso,7
5,2174792,2175015,fixation,223
6,2299450,2299606,fixation,156
6,2299607,2299651,saccade,44
6,2299652,2299665,pso,13
6,2299666,2299763,fixation,97
6,2299764,2299810,saccade,46
6,2299811,2299828,pso,17
6,2299829,2300147,fixation,318
6,2300148,2300188,saccade,40
6,2300189,2300199,pso,10
6,2300200,2300411,fixation,211
6,2300412,2300461,saccade,49
6,2300462,2300474,pso,12
6,2300475,2300718,fixation,243
6,2300719,2300738,saccade,19
6,2300739,2300750,pso,11
6,2300751,2301080,fixation,329
7,2396770,2396917,fixation,147
7,2396918,2396953,saccade,35
7,2396954,2396969,pso,15
7,2396970,2397060,fixation,90
7,2397061,2397096,saccade,35
7,2397097,2397115,pso,18
7,2397116,2397241,fixation,125
7,2397242,2397276,saccade,34
7,2397277,2397295,pso,18
7,2397296,2397542,fixation,246
7,2397543,2397574,saccade,31
7,2397575,2397582,pso,7
7,2397583,2397696,fixation,113
7,2397697,2397736,saccade,39
7,2397737,2397756,pso,19
7,2397757,2398027,fixation,270
8,2333037,2333183,blink,146
8,2333184,2333274,fixation,90
8,2333275,2333320,saccade,45
8,2333321,2333329,pso,8
8,2333330,2333449,fixation,119
8,2333450,2333493,saccade,43
8,2333494,2333505,pso,11
8,2333506,2333674,fixation,168
8,2333675,2333708,saccade,33
8,2333709,2333726,pso,17
8,2333727,2333849,fixation,122
8,2333850,2333889,saccade,39
8,2333890,2333907,pso,17
8,2333908,2334028,fixation,120
8,2334029,2334094,saccade,65
8,2334095,2334210,fixation,115
8,2334211,2334250,saccade,39
8,2334251,2334274,pso,23
8,2334275,2334505,fixation,230
9,2179762,2179781,saccade,19
9,2179782,2179932,fixation,150
9,2179933,2179974,saccade,41
9,2179975,2179990,pso,15
9,2179991,2180098,fixation,107
9,2180099,2180138,saccade,39
9,2180139,2180155,pso,16
9,2180156,2180241,fixation,85
9,2180242,2180280,saccade,38
9,2180281,2180298,pso,17
9,2180299,2180437,fixation,138
9,2180438,2180454,saccade,16
9,2180455,2180464,pso,9
9,2180465,2180811,fixation,346
9,2180812,2180844,saccade,32
9,2180845,2180862,pso,17
9,2180863,2181088,fixation,225
9,2181089,2181122,saccade,33
9,2181123,2181142,pso,19
9,2181143,2181258,fixation,115
9,2181259,2181290,saccade,31
9,2181291,2181309,pso,18
9,2181310,2181554,fixation,244
9,2181555,2181594,saccade,39
9,2181595,2181615,pso,20
9,2181616,2181663,fixation,47
10,2142728,2142922,fixation,194
10,2142923,2142963,saccade,40
10,2142964,2142975,pso,11
10,2142976,2143112,fixation,136
10,2143113,2143149,saccade,36
10,2143150,2143167,pso,17
10,2143168,2143395,fixation,227
10,2143396,2143422,saccade,26
10,2143423,2143559,fixation,136
10,2143560,2143588,saccade,28
10,2143589,2143602,pso,13
10,2143603,2143867,fixation,264
10,2143868,2143900,saccade,32
10,2143901,2143914,pso,13
10,2143915,2144303,fixation,388
10,2144304,2144331,saccade,27
10,2144332,2144431,fixation,99
11,2345589,2345624,unclear,35
11,2345625,2345743,fixation,118
11,2345744,2346050,blink,306
11,2346051,2346098,fixation,47
11,2346099,2346133,saccade,34
11,2346134,2346145,pso,11
11,2346146,2346479,fixation,333
11,2346480,2346568,saccade,88
11,2346569,2346590,pso,21
11,2346591,2346847,fixation,256
11,2346848,2346872,saccade,24
12,2177097,2177240,fixation,143
12,2177241,2177273,saccade,32
12,2177274,2177408,fixation,134
12,2177409,2177453,saccade,44
12,2177454,2177465,pso,11
12,2177466,2177618,fixation,152
12,2177619,2177657,saccade,38
12,2177658,2177676,pso,18
12,2177677,2177882,fixation,205
12,2177883,2177920,saccade,37
12,2177921,2178103,fixation,182
12,2178104,2178152,saccade,48
12,2178153,2178172,pso,19
12,2178173,2178287,fixation,114
13,2146763,2146933,fixation,170
13,2146934,2146972,saccade,38
13,2146973,2147116,fixation,143
13,2147117,2147150,saccade,33
13,2147151,2147165,pso,14
13,2147166,2147286,fixation,120
13,2147287,2147328,saccade,41
13,2147329,2147345,pso,16
13,2147346,2147566,fixation,220
13,2147567,2147600,saccade,33
13,2147601,2147619,pso,18
13,2147620,2147957,fixation,337
13,2147958,2148005,saccade,47
13,2148006,2148022,pso,16
