trial,start_time,end_time,label,duration
1,5630799,5630979,fixation,180
1,5630980,5631001,saccade,21
1,5631002,5631009,pso,7
1,5631010,5631174,fixation,164
1,5631175,5631209,saccade,34
1,5631210,5631222,pso,12
1,5631223,5631428,fixation,205
1,5631429,5631460,saccade,31
1,5631461,5631469,pso,8
1,5631470,5631674,fixation,204
1,5631675,5631704,saccade,29
1,5631705,5631713,pso,8
1,5631714,5631918,fixation,204
1,5631919,5631955,saccade,36
1,5631956,5631998,fixation,42
2,5443638,5443811,fixation,173
2,5443812,5443838,saccade,26
2,5443839,5443852,pso,13
2,5443853,5444009,fixation,156
2,5444010,5444049,saccade,39
2,5444050,5444072,pso,22
2,5444073,5444364,fixation,291
2,5444365,5444399,saccade,34
2,5444400,5444414,pso,14
2,5444415,5444807,fixation,392
2,5444808,5444836,saccade,28
2,5444837,5444941,fixation,104
2,5444942,5444998,saccade,56
2,5444999,5445052,fixation,53
3,5657050,5657106,fixation,56
3,5657107,5657132,saccade,25
3,5657133,5657146,pso,13
3,5657147,5657288,fixation,141
3,5657289,5657328,saccade,39
3,5657329,5657342,pso,13
3,5657343,5657586,fixation,243
3,5657587,5657627,saccade,40
3,5657628,5657636,pso,8
3,5657637,5657852,fixation,215
3,5657853,5657873,saccade,20
3,5657874,5658098,fixation,224
3,5658099,5658124,saccade,25
3,5658125,5658129,pso,4
3,5658130,5658369,fixation,239
3,5658370,5658425,saccade,55
3,5658426,5658444,pso,18
3,5658445,5658646,fixation,201
4,5509935,5510098,fixation,163
4,5510099,5510140,saccade,41
4,5510141,5510156,pso,15
4,5510157,5510320,fixation,163
4,5510321,5510350,saccade,29
4,5510351,5510365,pso,14
4,5510366,5510655,fixation,289
4,5510656,5510705,saccade,49
4,5510706,5510722,pso,16
4,5510723,5510841,fixation,118
4,5510842,5510888,saccade,46
4,5510889,5510896,pso,7
4,5510897,5511094,fixation,197
4,5511095,5511151,saccade,56
4,5511152,5511359,fixation,207
4,5511360,5511399,saccade,39
4,5511400,5511411,pso,11
4,5511412,5511643,fixation,231
4,5511644,5511665,saccade,21
4,5511666,5511677,pso,11
4,5511678,5511858,fixation,180
4,5511859,5511915,saccade,56
4,5511916,5511922,pso,6
4,5511923,5512204,fixation,281
4,5512205,5512270,saccade,65
4,5512271,5512291,pso,20
4,5512292,5512520,fixation,228
4,5512521,5512585,saccade,64
4,5512586,5512596,pso,10
4,5512597,5512782,fixation,185
5,5283085,5283244,fixation,159
5,5283245,5283270,saccade,25
5,5283271,5283279,pso,8
5,5283280,5283453,fixation,173
5,5283454,5283496,saccade,42
5,5283497,5283506,pso,9
5,5283507,5283757,fixation,250
5,5283758,5283794,saccade,36
5,5283795,5283810,pso,15
5,5283811,5284013,fixation,202
5,5284014,5284049,saccade,35
5,5284050,5284061,pso,11
5,5284062,5284189,fixation,127
5,5284190,5284252,saccade,62
5,5284253,5284264,pso,11
5,5284265,5284618,fixation,353
5,5284619,5284647,saccade,28
5,5284648,5284667,pso,19
5,5284668,5284899,fixation,231
6,5325065,5325256,fixation,191
6,5325257,5325276,saccade,19
6,5325277,5325456,fixation,179
6,5325457,5325498,saccade,41
6,5325499,5325505,pso,6
6,5325506,5325704,fixation,198
6,5325705,5325732,saccade,27
6,5325733,5325879,fixation,146
6,5325880,5325918,saccade,38
6,5325919,5325928,pso,9
6,5325929,5326178,fixation,249
6,5326179,5326211,saccade,32
6,5326212,5326691,fixation,479
7,5313878,5314199,blink,321
7,5314200,5314236,fixation,36
7,5314237,5314273,saccade,36
7,5314274,5314280,pso,6
7,5314281,5314520,fixation,239
7,5314521,5314569,saccade,48
7,5314570,5314576,pso,6
7,5314577,5314916,fixation,339
7,5314917,5314957,saccade,40
7,5314958,5314967,pso,9
7,5314968,5315248,fixation,280
7,5315249,5315299,saccade,50
7,5315300,5315499,fixation,199
7,5315500,5315521,saccade,21
7,5315522,5315530,pso,8
7,5315531,5315702,fixation,171
7,5315703,5315753,saccade,50
7,5315754,5315763,pso,9
7,5315764,5315958,fixation,194
7,5315959,5315998,saccade,39
7,5315999,5316027,fixation,28
8,5634514,5634739,fixation,225
8,5634740,5634777,saccade,37
8,5634778,5634785,pso,7
8,5634786,5634937,fixation,151
8,5634938,5634973,saccade,35
8,5634974,5634982,pso,8
8,5634983,5635251,fixation,268
8,5635252,5635286,saccade,34
8,5635287,5635291,pso,4
8,5635292,5635437,fixation,145
8,5635438,5635470,saccade,32
8,5635471,5635754,fixation,283
8,5635755,5635816,saccade,61
8,5635817,5635824,pso,7
8,5635825,5635996,fixation,171
8,5635997,5636014,saccade,17
8,5636015,5636023,pso,8
8,5636024,5636329,fixation,305
8,5636330,5636374,saccade,44
8,5636375,5636525,fixation,150
