trial,start_time,end_time,label,duration
1,5511925,5512136,fixation,211
1,5512137,5512176,saccade,39
1,5512177,5512210,pso,33
1,5512211,5512301,fixation,90
1,5512302,5512350,saccade,48
1,5512351,5512368,pso,17
1,5512369,5512495,fixation,126
1,5512496,5512535,saccade,39
1,5512536,5512554,pso,18
1,5512555,5513019,fixation,464
1,5513020,5513071,saccade,51
1,5513072,5513103,pso,31
1,5513104,5513320,fixation,216
1,5513321,5513361,saccade,40
1,5513362,5513389,pso,27
1,5513390,5513865,fixation,475
1,5513866,5513890,saccade,24
1,5513891,5513926,pso,35
1,5513927,5514284,fixation,357
2,5642632,5642675,saccade,43
2,5642676,5642704,pso,28
2,5642705,5642861,fixation,156
2,5642862,5642919,saccade,57
2,5642920,5642946,pso,26
2,5642947,5643147,fixation,200
2,5643148,5643181,saccade,33
2,5643182,5643202,pso,20
2,5643203,5643518,fixation,315
2,5643519,5643556,saccade,37
2,5643557,5643581,pso,24
2,5643582,5643675,fixation,93
2,5643676,5643717,saccade,41
2,5643718,5643744,pso,26
2,5643745,5643826,fixation,81
2,5643827,5643853,saccade,26
2,5643854,5643875,pso,21
2,5643876,5644045,fixation,169
2,5644046,5644130,saccade,84
2,5644131,5644158,pso,27
2,5644159,5644325,fixation,166
3,5517415,5517438,saccade,23
3,5517440,5517468,pso,28
3,5517469,5517632,fixation,163
3,5517633,5517670,saccade,37
3,5517671,5517691,pso,20
3,5517692,5517820,fixation,128
3,5517821,5517869,saccade,48
3,5517870,5517892,pso,22
3,5517893,5518136,fixation,243
3,5518137,5518196,saccade,59
3,5518197,5518223,pso,26
3,5518224,5518450,fixation,226
3,5518451,5518496,saccade,45
3,5518497,5518667,fixation,170
3,5518668,5518727,saccade,59
3,5518728,5518747,pso,19
3,5518748,5518948,fixation,200
3,5518949,5518983,saccade,34
3,5518984,5519006,pso,22
3,5519007,5519181,fixation,174
3,5519182,5519240,saccade,58
3,5519241,5519269,pso,28
3,5519270,5519393,fixation,123
3,5519394,5519438,saccade,44
3,5519439,5519463,pso,24
3,5519464,5519577,fixation,113
3,5519578,5519606,saccade,28
3,5519607,5519639,pso,32
3,5519640,5519762,fixation,122
3,5519763,5519815,saccade,52
3,5519816,5519843,pso,27
3,5519844,5519965,fixation,121
4,5339845,5339893,saccade,48
4,5339894,5340094,fixation,200
4,5340095,5340113,saccade,18
4,5340114,5340126,pso,12
4,5340128,5340345,fixation,217
4,5340346,5340385,saccade,39
4,5340386,5340415,pso,29
4,5340416,5340550,fixation,134
4,5340551,5340598,saccade,47
4,5340599,5340621,pso,22
4,5340622,5340734,fixation,112
4,5340735,5340783,saccade,48
4,5340784,5340800,pso,16
4,5340801,5340953,fixation,152
4,5340954,5341009,saccade,55
4,5341010,5341024,pso,14
4,5341025,5341196,fixation,171
4,5341197,5341240,saccade,43
4,5341241,5341251,pso,10
4,5341252,5341624,fixation,372
4,5341625,5341646,saccade,21
5,5347893,5348126,fixation,233
5,5348127,5348173,saccade,46
5,5348174,5348211,pso,37
5,5348212,5348349,fixation,137
5,5348350,5348395,saccade,45
5,5348396,5348418,pso,22
5,5348419,5348841,fixation,422
5,5348842,5348862,saccade,20
5,5348863,5348874,pso,11
5,5348875,5348984,fixation,109
5,5348985,5349015,saccade,30
5,5349016,5349033,pso,17
5,5349034,5349262,fixation,228
5,5349263,5349397,saccade,134
5,5349398,5349588,fixation,190
6,5335564,5335694,fixation,130
6,5335695,5335733,saccade,38
6,5335734,5335751,pso,17
6,5335752,5335879,fixation,127
6,5335880,5335940,saccade,60
6,5335941,5335961,pso,20
6,5335962,5336106,fixation,144
6,5336107,5336149,saccade,42
6,5336150,5336167,pso,17
6,5336168,5336280,fixation,112
6,5336281,5336334,saccade,53
6,5336335,5336364,pso,29
6,5336365,5336518,fixation,153
6,5336519,5336545,saccade,26
6,5336546,5336565,pso,19
6,5336566,5336681,fixation,115
6,5336682,5336725,saccade,43
6,5336726,5336741,pso,15
6,5336742,5337046,fixation,304
6,5337047,5337117,saccade,70
6,5337118,5337133,pso,15
6,5337134,5337361,fixation,227
7,5573397,5573655,fixation,258
7,5573656,5573715,saccade,59
7,5573716,5573739,pso,23
7,5573740,5573885,fixation,145
7,5573886,5573934,saccade,48
7,5573935,5573952,pso,17
7,5573953,5574181,fixation,228
7,5574182,5574206,saccade,24
7,5574207,5574223,pso,16
7,5574224,5574400,fixation,176
7,5574401,5574440,saccade,39
7,5574441,5574718,fixation,277
7,5574719,5574747,saccade,28
7,5574748,5574767,pso,19
7,5574768,5574829,fixation,61
8,5646383,5646720,fixation,337
8,5646721,5646771,saccade,50
8,5646772,5646793,pso,21
8,5646794,5646942,fixation,148
8,5646943,5646983,saccade,40
8,5646984,5647019,pso,35
8,5647020,5647291,fixation,271
8,5647292,5647316,saccade,24
8,5647317,5647333,pso,16
8,5647334,5647578,fixation,244
8,5647579,5647598,saccade,19
8,5647599,5647611,pso,12
8,5647612,5647749,fixation,137
8,5647750,5647833,saccade,83
8,5647834,5647857,pso,23
8,5647858,5648002,fixation,144
8,5648003,5648049,saccade,46
8,5648050,5648069,pso,19
8,5648070,5648429,fixation,359
9,5638510,5638648,fixation,138
9,5638649,5638689,saccade,40
9,5638690,5638709,pso,19
9,5638710,5638837,fixation,127
9,5638838,5638879,saccade,41
9,5638880,5638895,pso,15
9,5638896,5639042,fixation,146
9,5639043,5639092,saccade,49
9,5639093,5639111,pso,18
9,5639112,5639300,fixation,188
9,5639301,5639415,saccade,114
9,5639416,5639718,fixation,302
9,5639719,5639753,saccade,34
9,5639754,5639765,pso,11
9,5639766,5639932,fixation,166
9,5639933,5639949,saccade,16
10,5373226,5373407,fixation,181
10,5373408,5373450,saccade,42
10,5373451,5373468,pso,17
10,5373469,5373641,fixation,172
10,5373642,5373686,saccade,44
10,5373687,5373704,pso,17
10,5373705,5373882,fixation,177
10,5373883,5373912,saccade,29
10,5373913,5373922,pso,9
10,5373923,5374071,fixation,148
10,5374072,5374101,saccade,29
10,5374102,5374116,pso,14
10,5374117,5374316,fixation,199
10,5374317,5374338,saccade,21
10,5374339,5374408,blink,69
10,5374431,5374517,blink,86
10,5374518,5374713,fixation,195
10,5374714,5374749,saccade,35
10,5374750,5374775,pso,25
10,5374776,5375009,fixation,233
10,5375010,5375029,saccade,19
10,5375030,5375040,pso,10
10,5375041,5375204,fixation,163
10,5375205,5375236,saccade,31
10,5375237,5375247,pso,10
10,5375248,5375395,fixation,147
10,5375396,5375448,saccade,52
10,5375449,5375470,pso,21
10,5375471,5375635,fixation,164
11,5550441,5550695,fixation,254
11,5550696,5550732,saccade,36
11,5550733,5550758,pso,25
11,5550759,5550912,fixation,153
11,5550913,5550958,saccade,45
11,5550959,5550981,pso,22
11,5550982,5551089,fixation,107
11,5551090,5551137,saccade,47
11,5551138,5551162,pso,24
11,5551163,5551356,fixation,193
11,5551357,5551421,saccade,64
11,5551422,5551444,pso,22
11,5551445,5551663,fixation,218
11,5551664,5551724,saccade,60
11,5551725,5551752,pso,27
11,5551753,5551927,fixation,174
11,5551928,5551987,saccade,59
11,5551988,5552007,pso,19
11,5552008,5552212,fixation,204
11,5552213,5552240,saccade,27
11,5552241,5552264,pso,23
11,5552265,5552285,unclear,20
12,5727519,5727657,fixation,138
12,5727658,5727694,saccade,36
12,5727695,5727717,pso,22
12,5727718,5727839,fixation,121
12,5727840,5727885,saccade,45
12,5727886,5727896,pso,10
12,5727897,5728041,fixation,144
12,5728042,5728083,saccade,41
12,5728084,5728104,pso,20
12,5728105,5728336,fixation,231
12,5728337,5728407,saccade,70
12,5728408,5728428,pso,20
12,5728429,5728824,fixation,395
12,5728825,5728905,saccade,80
12,5728906,5728973,fixation,67
13,5580706,5580729,saccade,23
13,5580730,5580862,fixation,132
13,5580863,5580890,saccade,27
13,5580891,5580909,pso,18
13,5580910,5581084,fixation,174
13,5581085,5581124,saccade,39
13,5581125,5581141,pso,16
13,5581142,5581365,fixation,223
13,5581366,5581416,saccade,50
13,5581417,5581434,pso,17
13,5581435,5581583,fixation,148
13,5581584,5581614,saccade,30
13,5581615,5581637,pso,22
13,5581638,5581795,fixation,157
13,5581796,5581868,saccade,72
13,5581869,5581895,pso,26
13,5581896,5582030,fixation,134
13,5582031,5582062,saccade,31
13,5582063,5582088,pso,25
13,5582089,5582198,fixation,109
